True_X,Detected_X,True_Y,Detected_Y,Distance,True Flux,Measured Flux
373.7972634350045,373.8463140971536,2416.48571690209,2416.483756715909,0.04908981347624004,1410.353142172096,5130.331941904331
1695.995157601851,1696.0189463828035,1423.3963004052964,1423.461667028963,0.06956077622313957,939.4730247943634,2690.9687354168154
543.4700859984728,543.5085210908954,120.569642853458,120.37478850547242,0.19860884486453792,932.8071431680816,2104.215976555653
416.9241486711283,416.9172172824346,762.4609089701794,762.5511971673437,0.09055386626980803,1399.269485977302,4969.5561385737055
1501.2247186931215,1501.1408411030504,2072.862114568905,2072.7975293898407,0.10586168084288115,965.2659563708172,2507.216263677549
1335.9357815282674,1335.9665934621423,187.7595352525773,187.75012743267865,0.03221618140560032,21707.01959903763,84557.95279561149
2263.114689551616,2263.136957957425,981.3805061247942,981.3335815529256,0.051940324819257054,1078.695353264705,3418.3920149752
560.0578009922168,560.0004788005818,1059.9628684998208,1059.9891538579432,0.06306150731987455,1948.8804451538367,8009.971537910329
673.3508712397295,673.3947836071192,876.5143170642161,876.4696977389417,0.06260335612178633,1178.636793633227,3974.326978342842
550.0159098009826,550.030073549164,482.2812727488917,482.2535448507832,0.0311359614603124,1746.7390246053549,6817.262890876473
2331.6005814900723,2331.64889784271,603.075700675244,603.0567491971511,0.051900177785100005,2502.7128432734758,11358.375171408095
2459.592612626124,2459.5588035338137,1903.9082182346397,1904.0128809050468,0.10998785978274343,1221.658851562889,3853.472267092844
1685.4899002678092,1685.531968703591,398.472143028796,398.4853497814357,0.044092761360774335,8409.1498418698,40476.60000605386
647.8477499639731,647.8315272545648,2046.011576274488,2046.0113014191224,0.01622503762767432,4100.780433519606,21591.695344972588
1322.3247710241242,1322.372437011046,1990.247765049084,1990.2585757260329,0.04887654903252834,1721.9733585002823,7094.661657722489
295.32165076673465,295.16407071066993,2392.1335917664364,2392.104869422916,0.16017630001549837,976.2055405087854,2710.2316372280206
1246.7743287026567,1246.7918282254418,246.5910590048961,246.6166531510057,0.031004735328425098,2419.6451400761807,10919.796598256062
1189.8719393071851,1189.908386938859,2467.453347806596,2467.408032955906,0.058153809399551566,1495.6574681438608,5751.539217875537
2329.921965456292,2329.9316318296874,206.86264073943107,206.83454811316489,0.029709163992747974,2623.1566191096344,12357.562023689004
1199.0082907131011,1199.020676771908,465.1371104652443,465.0858106823496,0.05277387779776025,1032.3079129907326,2566.552893113357
697.7780845012252,697.8956604495623,1481.8194564561315,1481.844744416706,0.12026464392078581,1184.7622609257144,3284.478796925049
1325.330318280277,1325.2596138241631,2220.125614128115,2220.198723676148,0.10170607714346927,949.774668844231,2224.0888758368224
2027.1493871405391,2027.090702653421,154.8035089748739,154.82877069136592,0.06389071410186499,4734.021791280008,24817.42989098497
1323.1871660260056,1323.122604851696,2499.1209103125825,2498.623993405024,0.5010933628034576,1235.975882152056,2380.614021438831
682.9136835479068,682.9249012321453,1709.5319610042668,1709.5081962990923,0.026279224716594333,7205.457980191124,37165.8899195194
1183.580037759818,1183.4974383633466,2247.9488782665394,2247.981102683096,0.08866269407057907,1368.6573990298714,4769.197834735762
945.4767431388244,945.41157948616,1147.1238059078391,1147.130979511256,0.06555732006840757,3937.79754943208,19616.89879418629
1913.8256136835207,1913.7285043142317,2411.748413095401,2411.780772602904,0.10235901196067039,1185.8117493865568,3454.6652697658064
6.082992122602105,6.0436187204543845,43.75141774874852,43.74186240249274,0.04051628609280467,5625.458550517064,28531.25124996946
2498.5732480598945,2498.476377676164,765.4266037182636,765.5637017461949,0.16786822363622056,927.5951218614402,2205.2655158116795
27.62298383981754,27.641949877172287,1128.529951272181,1128.4849110401324,0.048870574745345306,3171.370168815264,15331.14560695596
1717.877707669221,1717.8793705995129,700.6849177729329,700.6602413913066,0.024732350218280366,3049.484946195296,15025.939190536878
1886.3588884676856,1886.330433687925,892.1953783133129,892.1486704298645,0.05469278624684485,1134.8410215832664,3969.064116937189
1306.2525115832634,1306.186007606195,2016.3746475629264,2016.49275448863,0.13554344272249677,1848.4139487933912,7730.7124840611295
1647.8545329641684,1647.837916256692,2077.2604945229746,2077.2543384519117,0.017720388773450602,1711.0386925680066,6674.554572536416
1439.5428308550108,1439.5179754300211,131.5022254069733,131.42286393952224,0.08316269997664537,1652.2456457427463,6402.038704575444
1636.9344702771318,1636.8297062010763,717.0052281491876,717.0501157846626,0.11397548618146774,980.271578347475,2350.78335487444
2239.0763182081587,2239.0013738225366,1663.994764595198,1664.0006473450385,0.07517491391386473,1195.1318475928354,3562.914467761
589.3123243828729,589.248729256976,1764.3495740844617,1764.446625623135,0.11603163877461417,911.7959995976756,2020.343784816444
726.076963447936,726.2004784779903,2037.1944894123912,2037.0347592108585,0.20191508098948824,909.3774991552118,2074.4926168802785
2183.067901366523,2183.075970124874,728.5525218628954,728.4731106647363,0.07982006799294783,4061.842579149592,20606.796143842952
1991.4848323901372,1991.428255177247,1572.7614127020795,1572.6741667858555,0.1039847629039646,975.6719808732372,2618.216227274927
172.85602764128683,172.9058363359116,1048.6518967026188,1048.554026849577,0.10981536411021231,1374.4951090077907,4474.19798928339
910.7196389202356,910.5977130728292,1629.5363565558118,1629.3839826630103,0.1951504944223175,940.947610508402,2590.5200059525087
1552.9603239949226,1552.9264476735286,1273.5738217192009,1273.5801471164657,0.034461802067636216,1513.860223073941,5552.645901460219
666.9896856003589,666.9867879030277,1542.3391346125786,1542.3635505286093,0.02458726510694654,3093.3665215615697,15165.131139343384
