id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
214,613.0496487040818,650.7256989401167,0.5465345107799499,0.1114888924825377,0.07406836425969687,25,1110.2666005504752,6870.3849813786555,-9.592452683479994,-2.116860312344705
215,2117.6759967816142,651.2744269059361,0.5006954451116415,-0.18455269585176065,-0.029287293122492668,25,1579.0251928471416,12216.9104740945,-10.217403478412608,-2.4450238905213917
216,214.40419831414866,655.0602018745847,0.6389576918783427,0.00509084412276733,-0.09448158664337507,25,333.8248851290358,1545.0100944525789,-7.972328303173544,-0.763438655087392
217,967.0602380768904,659.4982843691071,0.5389249419852785,0.03320450825783627,0.144259578275251,25,1525.4167648566286,11099.852511569366,-10.113293020426752,-2.3859648687508046
218,2371.1386302104825,659.8141356765003,0.5368741887486878,0.017790417006405962,-0.007048559782017482,25,1213.9911714195987,7498.7133713156345,-9.687466883921754,-2.212836960306797
219,68.58317229308012,661.3457517697797,0.5349808421994677,-0.3141818793695646,-0.042276267761924134,25,1333.3943941254938,9399.49699647398,-9.932761533600118,-2.2543368938419492
220,1004.0832841297079,662.2033992393074,0.575067781762558,0.3609953990003519,0.0711911510741362,25,670.1873098073748,3888.7285684495932,-8.974519076601942,-1.5496490167087205
221,1728.0511273427867,664.3097156346936,0.5563271957182486,0.038809868020897004,0.07686399995228771,25,940.3645735589304,5549.599275137419,-9.360654061914937,-1.936127298994248
222,2473.726666542907,663.6819307338442,0.5530423636120425,0.13244279745802118,-0.04364907579350991,25,829.5070974246893,4844.700128614388,-9.21316725196105,-1.8079504343786281
223,530.0285347860338,667.4125975575038,0.5946442836538842,-0.11435768166321439,-0.034261550723787476,25,433.9904947961944,2263.4264350736485,-8.386915959513825,-1.1290707578499042
224,383.06659058579805,668.133508471431,0.5514834473826662,0.04044195577292922,-0.014885509475735654,25,624.8369866845936,3277.285846113718,-8.788785805909306,-1.5683766512274668
225,1514.624927978606,668.0631388246156,0.5735912657941723,0.08458630079030757,0.01626632099676342,25,1128.3732992719079,7088.834189691871,-9.626437045427958,-2.077654739276806
